,id,country_name,Indicator_Name,YR_2008,YR_2009,YR_2010,YR_2011,YR_2012,YR_2013,YR_2014,YR_2015,YR_2016,YR_2017,YR_2018
195,196,Pacific island small states,GDP (current US$),6533049013.0,5800571264.0,6434900058.0,7631695342.0,8103477898.0,8401992508.0,9126129404.0,8908674905.0,9315360628.0,10011104666.0,10381220343.0
196,197,Post-demographic dividend,GDP (current US$),43200000000000.0,40700000000000.0,42500000000000.0,45600000000000.0,45600000000000.0,46000000000000.0,46900000000000.0,44400000000000.0,45400000000000.0,47300000000000.0,50100000000000.0
197,198,French Polynesia,GDP (current US$),,,,,,,,,,,
198,199,Qatar,GDP (current US$),115000000000.0,97798351648.0,125000000000.0,168000000000.0,187000000000.0,199000000000.0,206000000000.0,162000000000.0,152000000000.0,167000000000.0,191000000000.0
199,200,Romania,GDP (current US$),214000000000.0,174000000000.0,166000000000.0,183000000000.0,171000000000.0,191000000000.0,200000000000.0,178000000000.0,188000000000.0,212000000000.0,240000000000.0
200,201,Russian Federation,GDP (current US$),1660000000000.0,1220000000000.0,1520000000000.0,2050000000000.0,2210000000000.0,2300000000000.0,2060000000000.0,1360000000000.0,1280000000000.0,1580000000000.0,1660000000000.0
201,202,Rwanda,GDP (current US$),4924731466.0,5450464409.0,5849863213.0,6646901208.0,7428848122.0,7621924854.0,8016593394.0,8277614581.0,8475622319.0,9140429058.0,9508715596.0
202,203,South Asia,GDP (current US$),1530000000000.0,1680000000000.0,2060000000000.0,2270000000000.0,2300000000000.0,2360000000000.0,2580000000000.0,2700000000000.0,2920000000000.0,3350000000000.0,3450000000000.0
203,204,Saudi Arabia,GDP (current US$),520000000000.0,429000000000.0,528000000000.0,671000000000.0,736000000000.0,747000000000.0,756000000000.0,654000000000.0,645000000000.0,689000000000.0,787000000000.0
204,205,Sudan,GDP (current US$),54526580232.0,53150209168.0,65634109237.0,67327289320.0,68125631150.0,72065940086.0,82151588419.0,96741742022.0,95558220777.0,123000000000.0,40851536134.0
205,206,Senegal,GDP (current US$),16949789465.0,16248212852.0,16215069256.0,17878780185.0,17825417949.0,18960182371.0,19770840286.0,17767704597.0,19027392876.0,21081669870.0,24129599552.0
206,207,Singapore,GDP (current US$),194000000000.0,194000000000.0,240000000000.0,279000000000.0,295000000000.0,308000000000.0,315000000000.0,308000000000.0,318000000000.0,338000000000.0,364000000000.0
207,208,Solomon Islands,GDP (current US$),608229326.7,597765363.1,681151193.5,932725583.3,1063879446.0,1129787198.0,1172268301.0,1154650069.0,1230459710.0,1309631135.0,1395608472.0
208,209,Sierra Leone,GDP (current US$),2505458705.0,2453899847.0,2578026297.0,2942546781.0,3801862611.0,4920343195.0,5015157816.0,4218723875.0,3674794530.0,3739577973.0,4085114794.0
209,210,El Salvador,GDP (current US$),17986890000.0,17601620000.0,18448000000.0,20284000000.0,21386000000.0,21991000000.0,22593000000.0,23438000000.0,24154000000.0,24928000000.0,26057000000.0
210,211,San Marino,GDP (current US$),2752307016.0,2363156432.0,2139072848.0,2054489853.0,1800077091.0,1865374403.0,1788510017.0,1523012088.0,1564380531.0,1632860041.0,
211,212,Somalia,GDP (current US$),,,,,,3892402685.0,3963532309.0,4048860871.0,4198485404.0,4508845348.0,4720727278.0
212,213,Serbia,GDP (current US$),52194221469.0,45162894381.0,41819468692.0,49258136129.0,43309252921.0,48394239475.0,47062206678.0,39628550869.0,40630392019.0,44120424392.0,50597289147.0
213,214,Sub-Saharan Africa (excluding high income),GDP (current US$),1210000000000.0,1150000000000.0,1370000000000.0,1550000000000.0,1640000000000.0,1750000000000.0,1830000000000.0,1660000000000.0,1560000000000.0,1690000000000.0,1710000000000.0
214,215,South Sudan,GDP (current US$),14586253366.0,12231264525.0,14602072425.0,14907308934.0,11931472173.0,18426469030.0,13962212837.0,11997800751.0,,,
215,216,Sub-Saharan Africa,GDP (current US$),1210000000000.0,1150000000000.0,1370000000000.0,1550000000000.0,1640000000000.0,1750000000000.0,1830000000000.0,1660000000000.0,1560000000000.0,1690000000000.0,1710000000000.0
216,217,Small states,GDP (current US$),403000000000.0,344000000000.0,395000000000.0,478000000000.0,501000000000.0,517000000000.0,531000000000.0,452000000000.0,445000000000.0,485000000000.0,536000000000.0
217,218,Sao Tome and Principe,GDP (current US$),188021168.8,187821029.0,197454052.1,233213521.7,252560556.0,302925488.1,348941656.4,318265835.3,347545391.8,375040173.8,422296762.3
218,219,Suriname,GDP (current US$),3532969035.0,3875409836.0,4368398048.0,4422276622.0,4980000000.0,5145757576.0,5240606061.0,4787367928.0,3166040523.0,3068766110.0,3590753769.0
219,220,Slovak Republic,GDP (current US$),100000000000.0,89046289247.0,90183986822.0,98997521242.0,94416582465.0,98723944144.0,101000000000.0,88457167724.0,89640741266.0,95241436352.0,106000000000.0
220,221,Slovenia,GDP (current US$),55552508715.0,50368056543.0,48161250935.0,51516367350.0,46580457470.0,48401896410.0,49930685013.0,43090173062.0,44651537260.0,48441722816.0,54007972106.0
221,222,Sweden,GDP (current US$),515000000000.0,435000000000.0,495000000000.0,573000000000.0,551000000000.0,585000000000.0,580000000000.0,504000000000.0,516000000000.0,541000000000.0,556000000000.0
222,223,Eswatini,GDP (current US$),3294093360.0,3580417157.0,4438778554.0,4820499498.0,4886658800.0,4597702898.0,4422304977.0,4073390988.0,3840677845.0,4446248678.0,4710618472.0
223,224,Sint Maarten (Dutch part),GDP (current US$),,,,,,,,,,,
224,225,Seychelles,GDP (current US$),967199594.0,847397850.1,969936525.3,1065826670.0,1060226126.0,1328157609.0,1343007845.0,1377495054.0,1427524565.0,1503168690.0,1590180446.0
225,226,Syrian Arab Republic,GDP (current US$),,,,,,,,,,,
226,227,Turks and Caicos Islands,GDP (current US$),862683630.0,703175750.0,686787810.0,728789570.0,715722770.0,740776770.0,823968140.0,893501650.0,950357510.0,962525840.0,1022312010.0
227,228,Chad,GDP (current US$),10351932604.0,9253484108.0,10657705536.0,12156380425.0,12368071039.0,12949854263.0,13922223234.0,10945989472.0,10090922857.0,9975692095.0,11273115239.0
228,229,East Asia & Pacific (IDA & IBRD countries),GDP (current US$),5980000000000.0,6480000000000.0,7850000000000.0,9600000000000.0,10700000000000.0,11800000000000.0,12700000000000.0,13200000000000.0,13400000000000.0,14600000000000.0,16300000000000.0
229,230,Europe & Central Asia (IDA & IBRD countries),GDP (current US$),3910000000000.0,3110000000000.0,3650000000000.0,4430000000000.0,4630000000000.0,4910000000000.0,4640000000000.0,3620000000000.0,3480000000000.0,3910000000000.0,4060000000000.0
230,231,Togo,GDP (current US$),3310277927.0,3365711796.0,3426022206.0,3867391618.0,3873529926.0,4320427496.0,4568900620.0,4179185205.0,4483932937.0,4808043653.0,5358722983.0
231,232,Thailand,GDP (current US$),291000000000.0,282000000000.0,341000000000.0,371000000000.0,398000000000.0,420000000000.0,407000000000.0,401000000000.0,412000000000.0,455000000000.0,505000000000.0
232,233,Tajikistan,GDP (current US$),5161337336.0,4979481980.0,5642178580.0,6522732203.0,7633049792.0,8448469838.0,9112544556.0,7854602392.0,6952678127.0,7157865188.0,7522947810.0
233,234,Turkmenistan,GDP (current US$),19271523179.0,20214385965.0,22583157895.0,29233333333.0,35164210526.0,39197543860.0,43524210526.0,35799714286.0,36180000000.0,37926285714.0,40761142857.0
234,235,Latin America & the Caribbean (IDA & IBRD countries),GDP (current US$),4400000000000.0,4120000000000.0,5150000000000.0,5880000000000.0,5940000000000.0,6080000000000.0,6200000000000.0,5290000000000.0,5160000000000.0,5740000000000.0,5560000000000.0
235,236,Timor-Leste,GDP (current US$),4391368100.0,3199666700.0,3998961300.0,5672048700.0,6661664600.0,5637671700.0,4041637000.0,3092624800.0,2503532100.0,2487269400.0,2581000000.0
236,237,Middle East & North Africa (IDA & IBRD countries),GDP (current US$),1230000000000.0,1190000000000.0,1370000000000.0,1560000000000.0,1720000000000.0,1610000000000.0,1590000000000.0,1430000000000.0,1440000000000.0,1420000000000.0,
237,238,Tonga,GDP (current US$),349484427.6,318166562.8,369485198.8,423011844.3,472358251.2,450686353.7,443911052.3,435438217.3,401109307.4,430174168.7,450353313.9
238,239,South Asia (IDA & IBRD),GDP (current US$),1530000000000.0,1680000000000.0,2060000000000.0,2270000000000.0,2300000000000.0,2360000000000.0,2580000000000.0,2700000000000.0,2920000000000.0,3350000000000.0,3450000000000.0
239,240,Sub-Saharan Africa (IDA & IBRD countries),GDP (current US$),1210000000000.0,1150000000000.0,1370000000000.0,1550000000000.0,1640000000000.0,1750000000000.0,1830000000000.0,1660000000000.0,1560000000000.0,1690000000000.0,1710000000000.0
240,241,Trinidad and Tobago,GDP (current US$),27871587350.0,19172165226.0,22157948396.0,25433011405.0,25763220107.0,27268478565.0,27615843098.0,25062893969.0,22284780327.0,22474828527.0,23808146748.0
241,242,Tunisia,GDP (current US$),44856586316.0,43454935940.0,44050929160.0,45810626509.0,45044112939.0,46251061734.0,47632326088.0,43173480832.0,41802653631.0,39813383484.0,39871132268.0
242,243,Turkey,GDP (current US$),764000000000.0,645000000000.0,772000000000.0,833000000000.0,874000000000.0,951000000000.0,934000000000.0,860000000000.0,864000000000.0,853000000000.0,771000000000.0
243,244,Tuvalu,GDP (current US$),30290770.26,27101312.79,31824701.28,38713279.62,37671734.49,37507514.54,37291841.43,35492333.86,36547419.87,40620557.13,42587778.47
