country_name,Indicator_Name,YR_2008,YR_2009,YR_2010,YR_2011,YR_2012,YR_2013,YR_2014,YR_2015,YR_2016,YR_2017,YR_2018
Lithuania,"Population, total",3198231,3162916,3097282,3028115,2987773,2957689,2932367,2904910,2868231,2828403,2789533
Luxembourg,"Population, total",488650,497783,506953,518347,530946,543360,556319,569604,582014,596336,607728
Latvia,"Population, total",2177322,2141669,2097555,2059709,2034319,2012647,1993782,1977527,1959537,1942248,1926542
"Macao SAR, China","Population, total",515239,526400,538219,550832,564039,577372,590208,602085,612836,622585,631636
St. Martin (French part),"Population, total",36885,37377,37582,37446,37009,36453,36015,35858,36065,36560,37264
Morocco,"Population, total",31536811,31929087,32343389,32781850,33241898,33715693,34192347,34663603,35126296,35581294,36029138
Monaco,"Population, total",34872,35226,35612,36024,36460,36901,37322,37718,38070,38392,38682
Moldova,"Population, total",3570108,3565604,3562045,3559986,3559519,3558566,3556397,3554108,3551954,3549196,3545883
Madagascar,"Population, total",19996473,20569117,21151640,21743967,22346641,22961253,23589887,24234088,24894380,25570540,26262368
Maldives,"Population, total",343452,353398,365734,380495,397237,415593,435015,454915,475513,496402,515696
Middle East & North Africa,"Population, total",369823252,377883993,385917886,393944527,401974219,409977874,417932242,425821770,433597626,441255234,448912859
Mexico,"Population, total",110815271,112463887,114092963,115695473,117274155,118827161,120355128,121858258,123333376,124777324,126190788
Marshall Islands,"Population, total",56174,56250,56366,56531,56717,56938,57179,57439,57735,58058,58413
Middle income,"Population, total",5068731828,5128024829,5187847044,5248583579,5309856949,5371870625,5433979884,5495816130,5557635482,5619111361,5678540888
North Macedonia,"Population, total",2067313,2069039,2070741,2072487,2074278,2076067,2077775,2079328,2080745,2081996,2082958
Mali,"Population, total",14113577,14581429,15049353,15514591,15979499,16449864,16934220,17438778,17965429,18512394,19077690
Malta,"Population, total",409379,412477,414508,416268,420028,425967,434558,445053,455356,467999,483530
Myanmar,"Population, total",49929642,50250367,50600818,50990615,51413698,51852451,52280807,52680726,53045226,53382581,53708395
Middle East & North Africa (excluding high income),"Population, total",321168767,326900984,332777824,338814807,345004009,351299193,357637340,363975550,370276461,376546755,382896715
Montenegro,"Population, total",616969,618294,619428,620079,620601,621207,621810,622159,622303,622373,622345
Mongolia,"Population, total",2631898,2673796,2719896,2770362,2824699,2881792,2940108,2998439,3056359,3113779,3170208
Northern Mariana Islands,"Population, total",54625,54193,53971,54012,54311,54784,55305,55780,56188,56562,56882
Mozambique,"Population, total",22276596,22894710,23531574,24187487,24862648,25560725,26286163,27042002,27829942,28649007,29495962
Mauritania,"Population, total",3296238,3393409,3494195,3598648,3706554,3817494,3930896,4046301,4163534,4282574,4403319
Mauritius,"Population, total",1244121,1247429,1250400,1252404,1255882,1258653,1260934,1262605,1263473,1264613,1265303
Malawi,"Population, total",13727890,14128155,14539612,14962112,15396005,15839269,16289540,16745303,17205289,17670260,18143315
Malaysia,"Population, total",27236006,27735040,28208035,28650955,29068159,29468872,29866559,30270962,30684804,31105028,31528585
North America,"Population, total",337406357,340466060,343396098,345983901,348653238,351205682,353888995,356510820,359245384,361751263,364290258
Namibia,"Population, total",2043394,2081044,2118874,2156701,2194784,2233510,2273430,2314904,2358041,2402603,2448255
New Caledonia,"Population, total",242750,245950,249750,254350,259000,263650,268050,272400,276550,280350,284060
Niger,"Population, total",15250908,15843133,16464025,17114761,17795191,18504255,19240157,20001663,20788838,21602472,22442948
Nigeria,"Population, total",150269623,154324933,158503197,162805071,167228767,171765769,176404902,181137448,185960289,190873311,195874740
Nicaragua,"Population, total",5667432,5745526,5824065,5903039,5982526,6062454,6142733,6223240,6303974,6384855,6465513
Netherlands,"Population, total",16445593,16530388,16615394,16693074,16754962,16804432,16865008,16939923,17030314,17131296,17231017
Norway,"Population, total",4768212,4828726,4889252,4953088,5018573,5079623,5137232,5188607,5234519,5276968,5314336
Nepal,"Population, total",26666576,26883535,27013212,27041437,26989862,26917906,26906926,27015031,27261131,27627124,28087871
Nauru,"Population, total",9891,9939,10005,10057,10279,10821,11853,12475,13049,12876,12704
New Zealand,"Population, total",4259800,4302600,4350700,4384000,4408100,4442100,4509700,4595700,4693200,4793900,4885500
OECD members,"Population, total",1225804612,1234364086,1242309585,1248424526,1256042703,1263987635,1272282569,1280466626,1288747101,1296225760,1303529456
Oman,"Population, total",2750963,2876186,3041434,3251108,3498029,3764805,4027260,4267348,4479219,4665935,4829483
Other small states,"Population, total",24762406,25417830,26050942,26647962,27227319,27794595,28364410,28948869,29542879,30148800,30758989
Pakistan,"Population, total",171648986,175525609,179424641,183340592,187281475,191262919,195306825,199426964,203627284,207896686,212215030
Panama,"Population, total",3516204,3579215,3642687,3706483,3770624,3835437,3901315,3968487,4037078,4106771,4176873
Peru,"Population, total",28562317,28792655,29027674,29264318,29506788,29773987,30090359,30470734,30926032,31444297,31989256
Philippines,"Population, total",90901965,92414158,93966780,95570047,97212638,98871552,100513138,102113212,103663927,105173264,106651922
Palau,"Population, total",18704,18285,17955,17745,17640,17606,17626,17665,17725,17808,17907
Papua New Guinea,"Population, total",6976201,7144776,7310507,7472200,7631002,7788379,7946731,8107775,8271760,8438029,8606316
Poland,"Population, total",38125759,38151603,38042794,38063255,38063164,38040196,38011735,37986412,37970087,37974826,37978548
Pre-demographic dividend,"Population, total",691447610,711257522,731868772,753326798,775573001,798495530,821931240,845759344,869943914,894512725,919485393
Puerto Rico,"Population, total",3760866,3740410,3721525,3678732,3634488,3593077,3534874,3473166,3406495,3325001,3195153
"Korea, Dem. People’s Rep.","Population, total",24310142,24428341,24548836,24673385,24800612,24929452,25057752,25183833,25307744,25429985,25549819
Portugal,"Population, total",10558177,10568247,10573100,10557560,10514844,10457295,10401062,10358076,10325452,10300300,10281762
Paraguay,"Population, total",6081296,6163972,6248020,6333976,6421512,6510276,6599526,6688746,6777872,6867062,6956071
West Bank and Gaza,"Population, total",3591977,3689099,3786161,3882986,3979998,4076708,4173398,4270092,4367088,4454805,4569087
Pacific island small states,"Population, total",2157454,2186314,2214519,2241798,2268708,2296101,2325136,2355672,2388307,2422086,2457367
Post-demographic dividend,"Population, total",1064394167,1069878383,1074869481,1077838624,1082370705,1087128029,1092096206,1097025299,1101992071,1106035186,1109997273
French Polynesia,"Population, total",264061,265254,266455,267698,268998,270328,271705,273124,274575,276103,277679
Qatar,"Population, total",1436665,1654950,1856327,2035871,2196074,2336574,2459198,2565710,2654374,2724724,2781677
Romania,"Population, total",20537875,20367487,20246871,20147528,20058035,19983693,19908979,19815481,19702332,19587491,19473936
Russian Federation,"Population, total",142742350,142785342,142849449,142960868,143201676,143506911,143819666,144096870,144342396,144496740,144478050
Rwanda,"Population, total",9524534,9782770,10039338,10293331,10549678,10811543,11083635,11369071,11668818,11980937,12301939
South Asia,"Population, total",1592010819,1615610198,1638792934,1661534412,1683747130,1705772050,1727640967,1749417068,1771167194,1792835608,1814388744
Saudi Arabia,"Population, total",25888541,26630303,27421461,28267685,29155187,30052518,30916994,31717667,32442572,33099147,33699947
Sudan,"Population, total",33060837,33783788,34545013,35349681,36193783,37072550,37977655,38902950,39847440,40813396,41801533
Senegal,"Population, total",12004701,12335084,12678148,13033809,13401991,13782420,14174731,14578459,14993528,15419381,15854360
Singapore,"Population, total",4839396,4987573,5076732,5183688,5312437,5399162,5469724,5535002,5607283,5612253,5638676
Solomon Islands,"Population, total",503360,515181,527861,541521,556064,571335,587079,603118,619437,636038,652858
Sierra Leone,"Population, total",6133603,6272734,6415634,6563240,6712581,6863980,7017144,7171914,7328838,7488431,7650154
El Salvador,"Population, total",6131764,6157686,6183875,6210568,6237923,6266070,6295128,6325124,6356143,6388122,6420744
San Marino,"Population, total",30434,30816,31229,31661,32105,32553,32948,33272,33504,33671,33785
Somalia,"Population, total",11397188,11717692,12043883,12376302,12715510,13063706,13423576,13797201,14185613,14589119,15008154
Serbia,"Population, total",7350222,7320807,7291436,7234099,7199077,7164132,7130576,7095383,7058322,7020858,6982084
Sub-Saharan Africa (excluding high income),"Population, total",822858501,845567916,868935336,892958731,917638670,942951121,968868428,995365059,1022431864,1050057829,1078209758
South Sudan,"Population, total",8736939,9142259,9508364,9830698,10113647,10355036,10554883,10715658,10832512,10910759,10975920
Sub-Saharan Africa,"Population, total",822945457,845655214,869025106,893046172,917726973,943041070,968959787,995458478,1022526541,1050153672,1078306520
Small states,"Population, total",33798838,34529596,35238667,35912147,36568692,37214028,37862981,38526753,39200572,39885876,40575321
Sao Tome and Principe,"Population, total",171120,175876,180371,184524,188404,192087,195727,199432,203227,207089,211028
Suriname,"Population, total",517123,523111,529131,535179,541245,547291,553273,559143,564888,570496,575991
Slovak Republic,"Population, total",5379233,5386406,5391428,5398384,5407579,5413393,5418649,5423801,5430798,5439232,5447011
Slovenia,"Population, total",2021316,2039669,2048583,2052843,2057159,2059953,2061980,2063531,2065042,2066388,2067372
Sweden,"Population, total",9219637,9298515,9378126,9449213,9519374,9600379,9696110,9799186,9923085,10057698,10183175
Eswatini,"Population, total",1049945,1057467,1064837,1072032,1079288,1086839,1095021,1104044,1113984,1124753,1136191
Sint Maarten (Dutch part),"Population, total",33964,34238,34056,33435,34640,36607,37685,38825,39969,40574,40654
Seychelles,"Population, total",86956,87298,89770,87441,88303,89949,91359,93419,94677,95843,96762
Syrian Arab Republic,"Population, total",20664038,21205873,21362529,21082966,20442541,19584274,18715672,17997408,17453933,17068002,16906283
Turks and Caicos Islands,"Population, total",31202,31934,32660,33377,34066,34731,35369,35981,36559,37115,37665
Chad,"Population, total",11183588,11560147,11952136,12360989,12784750,13220424,13663559,14110975,14561666,15016773,15477751
East Asia & Pacific (IDA & IBRD countries),"Population, total",1913718210,1927560609,1941377349,1955334267,1969562739,1983964453,1998513398,2012980531,2027771091,2042687863,2056064424
Europe & Central Asia (IDA & IBRD countries),"Population, total",437427283,439200178,441121359,443356614,445596591,448074081,450528180,453034345,455505650,457810292,459865205
Togo,"Population, total",6083420,6250835,6421679,6595943,6773807,6954721,7137997,7323158,7509952,7698475,7889094
Thailand,"Population, total",66530984,66866839,67195028,67518382,67835957,68144501,68438730,68714511,68971331,69209858,69428524
Tajikistan,"Population, total",7209930,7364753,7527394,7697510,7874835,8059769,8252833,8454028,8663579,8880268,9100837
Turkmenistan,"Population, total",4935767,5007954,5087213,5174085,5267900,5366375,5466328,5565287,5662372,5757669,5850908
Latin America & the Caribbean (IDA & IBRD countries),"Population, total",560891799,567605672,574171371,580856609,587491182,594063071,600555906,606956985,613258172,619460244,625569713
Timor-Leste,"Population, total",1055431,1074277,1093523,1113151,1132994,1153295,1174331,1196302,1219288,1243261,1267972
Middle East & North Africa (IDA & IBRD countries),"Population, total",317576790,323211885,328991663,334931821,341024011,347222485,353463942,359705458,365909373,372091950,378327628
Tonga,"Population, total",103379,103890,103986,103562,102737,101768,101028,100781,101133,101998,103197
South Asia (IDA & IBRD),"Population, total",1592010819,1615610198,1638792934,1661534412,1683747130,1705772050,1727640967,1749417068,1771167194,1792835608,1814388744
Sub-Saharan Africa (IDA & IBRD countries),"Population, total",822945457,845655214,869025106,893046172,917726973,943041070,968959787,995458478,1022526541,1050153672,1078306520
Trinidad and Tobago,"Population, total",1314443,1320930,1328147,1336178,1344817,1353700,1362342,1370328,1377564,1384072,1389858
Tunisia,"Population, total",10414433,10525694,10635244,10741880,10847002,10952951,11063201,11179949,11303946,11433443,11565204
Turkey,"Population, total",70418604,71321399,72326988,73443863,74653016,75928564,77231907,78529409,79821724,81101892,82319724
Tuvalu,"Population, total",10314,10424,10530,10633,10739,10857,10972,11099,11225,11370,11508
Tanzania,"Population, total",41853944,43073834,44346525,45673338,47052481,48482266,49959822,51482633,53050790,54663906,56318348
Uganda,"Population, total",30431736,31411096,32428167,33476919,34559168,35695246,36912148,38225453,39647506,41162465,42723139
Ukraine,"Population, total",46258200,46053300,45870700,45706100,45593300,45489600,45271947,45154029,45004645,44831135,44622516
Upper middle income,"Population, total",2463294188,2481349075,2499410493,2518197739,2537625754,2557649560,2577855859,2597757681,2617804661,2637690770,2655635719
Uruguay,"Population, total",3340221,3349676,3359275,3368934,3378974,3389439,3400434,3412009,3424132,3436646,3449299
United States,"Population, total",304093966,306771529,309326085,311580009,313874218,316057727,318386421,320742673,323071342,325147121,327167434
Uzbekistan,"Population, total",27302800,27767400,28562400,29339400,29774500,30243200,30757700,31298900,31847900,32388600,32955400
St. Vincent and the Grenadines,"Population, total",108393,108287,108255,108316,108435,108622,108861,109148,109459,109827,110210
"Venezuela, RB","Population, total",27635832,28031009,28439940,28888369,29362449,29783571,30045134,30081829,29846179,29390409,28870195
British Virgin Islands,"Population, total",26097,27039,27794,28319,28650,28847,28989,29152,29355,29577,29802
Virgin Islands (U.S.),"Population, total",108399,108405,108358,108292,108191,108044,107884,107710,107510,107268,106977
Vietnam,"Population, total",86243413,87092252,87967651,88871561,89802487,90753472,91714595,92677076,93638724,94596642,95540395
Vanuatu,"Population, total",224704,230247,236211,242653,249499,256635,263888,271130,278330,285510,292680
World,"Population, total",6757887172,6840591577,6922947261,7004011262,7086993625,7170961674,7255653881,7340548192,7426103221,7510990456,7594270356
Samoa,"Population, total",183263,184556,185949,187469,189088,190717,192221,193513,194535,195352,196130
Kosovo,"Population, total",1747383,1761474,1775680,1791000,1805200,1824100,1821800,1801800,1816200,1830700,1845300
"Yemen, Rep.","Population, total",21892146,22516460,23154855,23807588,24473178,25147109,25823485,26497889,27168210,27834821,28498687
South Africa,"Population, total",49779471,50477011,51216964,52004172,52834005,53689236,54545991,55386367,56203654,57000451,57779622
Zambia,"Population, total",12848530,13215139,13605984,14023193,14465121,14926504,15399753,15879361,16363507,16853688,17351822
Zimbabwe,"Population, total",12379549,12526968,12697723,12894316,13115131,13350356,13586681,13814629,14030390,14236745,14439018
